Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
No checking account,15,Existing credits paid back,Furniture/equipment,2186,Unknown/No savings,4 <= ... < 7 years,1,Female div/sep/married,None,4,Real estate,33,Bank,Rent,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,4153,< 100 DM,1 <= ... < 4 years,2,Male single,Co-applicant,3,Car/other,42,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,16,Critical account,Car (new),2625,< 100 DM,>= 7 years,2,Male single,Guarantor,4,Savings/Life insurance,43,Bank,Rent,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,20,Critical account,Car (new),3485,Unknown/No savings,< 1 year,2,Male divorced/separated,None,4,Real estate,44,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,36,Critical account,Car (used),10477,Unknown/No savings,>= 7 years,2,Male single,None,4,Unknown/No property,42,None,For free,2,Skilled employee,1,None,Yes,Good
No checking account,15,Existing credits paid back,Radio/TV,1386,Unknown/No savings,1 <= ... < 4 years,4,Male married/widowed,None,2,Real estate,40,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,1278,< 100 DM,>= 7 years,4,Male single,None,1,Real estate,36,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Radio/TV,1107,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,20,None,Rent,1,Management/self-employed,2,"Yes, registered",Yes,Good
< 0 DM,21,Existing credits paid back,Car (new),3763,Unknown/No savings,4 <= ... < 7 years,2,Male single,Co-applicant,2,Real estate,24,None,Own,1,Unskilled-resident,1,None,No,Good
0 <= ... < 200 DM,36,Existing credits paid back,Education,3711,Unknown/No savings,1 <= ... < 4 years,2,Male married/widowed,None,2,Car/other,27,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,15,Delayed payments,Car (used),3594,< 100 DM,< 1 year,1,Female div/sep/married,None,2,Savings/Life insurance,46,None,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Car (new),3195,Unknown/No savings,1 <= ... < 4 years,1,Female div/sep/married,None,2,Real estate,33,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,36,Delayed payments,Radio/TV,4454,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Real estate,34,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Critical account,Furniture/equipment,4736,< 100 DM,< 1 year,2,Female div/sep/married,None,4,Car/other,25,Bank,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,30,Existing credits paid back,Radio/TV,2991,Unknown/No savings,>= 7 years,2,Female div/sep/married,None,4,Car/other,25,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,11,Existing credits paid back,Business,2142,>= 1000 DM,>= 7 years,1,Male divorced/separated,None,2,Real estate,28,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,All credits paid back,Business,3161,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,31,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,48,No credits/all paid,Other,18424,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,2,Savings/Life insurance,32,Bank,Own,1,Management/self-employed,1,"Yes, registered",No,Bad
No checking account,10,Existing credits paid back,Car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,1,Male single,Co-applicant,2,Real estate,32,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,6,Existing credits paid back,Car (new),14896,< 100 DM,>= 7 years,1,Male single,None,4,Unknown/No property,68,Bank,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,24,Existing credits paid back,Furniture/equipment,2359,100 <= ... < 500 DM,Unemployed,1,Male divorced/separated,None,1,Savings/Life insurance,33,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Furniture/equipment,3345,< 100 DM,>= 7 years,4,Male single,None,2,Savings/Life insurance,39,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,18,Critical account,Furniture/equipment,1817,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Unknown/No property,28,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,48,Delayed payments,Radio/TV,12749,500 <= ... < 1000 DM,4 <= ... < 7 years,4,Male single,None,1,Car/other,37,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,9,Existing credits paid back,Radio/TV,1366,< 100 DM,< 1 year,3,Female div/sep/married,None,4,Savings/Life insurance,22,None,Rent,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),2002,< 100 DM,4 <= ... < 7 years,3,Male single,None,4,Savings/Life insurance,30,None,Rent,1,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,24,All credits paid back,Furniture/equipment,6872,< 100 DM,< 1 year,2,Male divorced/separated,None,1,Savings/Life insurance,55,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,12,All credits paid back,Car (new),697,< 100 DM,< 1 year,4,Male single,None,2,Car/other,46,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,18,Critical account,Furniture/equipment,1049,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,21,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,48,Existing credits paid back,Car (used),10297,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Unknown/No property,39,Stores,For free,3,Skilled employee,2,"Yes, registered",Yes,Bad
No checking account,30,Existing credits paid back,Radio/TV,1867,Unknown/No savings,>= 7 years,4,Male single,None,4,Car/other,58,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Delayed payments,Car (new),1344,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Real estate,43,None,Own,2,Unskilled-resident,2,None,Yes,Good
< 0 DM,24,Existing credits paid back,Furniture/equipment,1747,< 100 DM,< 1 year,4,Male single,Co-applicant,1,Savings/Life insurance,24,None,Own,1,Unskilled-resident,1,None,No,Good
0 <= ... < 200 DM,9,Existing credits paid back,Radio/TV,1670,< 100 DM,< 1 year,4,Female div/sep/married,None,2,Car/other,22,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,9,Critical account,Car (new),1224,< 100 DM,1 <= ... < 4 years,3,Male single,None,1,Real estate,30,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,Critical account,Radio/TV,522,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,4,Savings/Life insurance,42,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Radio/TV,1498,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,1,Car/other,23,Bank,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,30,Delayed payments,Radio/TV,1919,100 <= ... < 500 DM,< 1 year,4,Male single,None,3,Unknown/No property,30,Stores,Own,2,Management/self-employed,1,None,Yes,Bad
>= 200 DM/salary assigned,9,Existing credits paid back,Radio/TV,745,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,2,Real estate,28,None,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,6,Existing credits paid back,Radio/TV,2063,< 100 DM,< 1 year,4,Male married/widowed,None,3,Car/other,30,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,60,Existing credits paid back,Education,6288,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,42,None,For free,1,Skilled employee,1,None,Yes,Bad
No checking account,24,Critical account,Car (used),6842,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,4,Savings/Life insurance,46,None,Own,2,Management/self-employed,2,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Car (new),3527,Unknown/No savings,< 1 year,2,Male single,None,3,Savings/Life insurance,45,None,Own,1,Management/self-employed,2,"Yes, registered",Yes,Good
No checking account,10,Existing credits paid back,Car (new),1546,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Real estate,31,None,Own,1,Unskilled-resident,2,None,No,Good
No checking account,24,Existing credits paid back,Furniture/equipment,929,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,2,Car/other,31,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,4,Critical account,Car (new),1455,< 100 DM,4 <= ... < 7 years,2,Male single,None,1,Real estate,42,None,Own,3,Unskilled-resident,2,None,Yes,Good
< 0 DM,15,Existing credits paid back,Furniture/equipment,1845,< 100 DM,< 1 year,4,Female div/sep/married,Guarantor,1,Savings/Life insurance,46,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,48,No credits/all paid,Car (new),8358,500 <= ... < 1000 DM,< 1 year,1,Female div/sep/married,None,1,Car/other,30,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,24,All credits paid back,Furniture/equipment,3349,500 <= ... < 1000 DM,< 1 year,4,Male single,None,4,Unknown/No property,30,None,For free,1,Skilled employee,2,"Yes, registered",Yes,Bad
No checking account,12,Existing credits paid back,Car (new),2859,Unknown/No savings,Unemployed,4,Male single,None,4,Unknown/No property,38,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,18,Existing credits paid back,Furniture/equipment,1533,< 100 DM,< 1 year,4,Male married/widowed,Co-applicant,1,Savings/Life insurance,43,None,Own,1,Unskilled-resident,2,None,Yes,Bad
No checking account,24,Existing credits paid back,Radio/TV,3621,100 <= ... < 500 DM,>= 7 years,2,Male single,None,4,Car/other,31,None,Own,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,18,Critical account,Business,3590,< 100 DM,Unemployed,3,Male married/widowed,None,3,Car/other,40,None,Own,3,Unemployed/non-resident,2,"Yes, registered",Yes,Good
< 0 DM,36,Delayed payments,Business,2145,< 100 DM,4 <= ... < 7 years,2,Male single,None,1,Car/other,24,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,24,Existing credits paid back,Car (used),4113,500 <= ... < 1000 DM,< 1 year,3,Female div/sep/married,None,4,Car/other,28,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,36,Existing credits paid back,Furniture/equipment,10974,< 100 DM,Unemployed,4,Female div/sep/married,None,2,Car/other,26,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,12,Existing credits paid back,Car (new),1893,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,Guarantor,4,Savings/Life insurance,29,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,Critical account,Radio/TV,1231,>= 1000 DM,>= 7 years,4,Female div/sep/married,None,4,Savings/Life insurance,57,None,Rent,2,Management/self-employed,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,30,Critical account,Radio/TV,3656,Unknown/No savings,>= 7 years,4,Male single,None,4,Savings/Life insurance,49,Stores,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,9,Critical account,Radio/TV,1154,< 100 DM,>= 7 years,2,Male single,None,4,Real estate,37,None,Own,3,Unskilled-resident,1,None,Yes,Good
< 0 DM,28,Existing credits paid back,Car (new),4006,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Car/other,45,None,Own,1,Unskilled-resident,1,None,Yes,Bad
0 <= ... < 200 DM,24,Existing credits paid back,Furniture/equipment,3069,100 <= ... < 500 DM,>= 7 years,4,Male single,None,4,Unknown/No property,30,None,For free,1,Skilled employee,1,None,Yes,Good
No checking account,6,Critical account,Radio/TV,1740,< 100 DM,>= 7 years,2,Male married/widowed,None,2,Real estate,30,None,Rent,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,21,Delayed payments,Car (new),2353,< 100 DM,1 <= ... < 4 years,1,Male divorced/separated,None,4,Savings/Life insurance,47,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,15,Existing credits paid back,Car (new),3556,Unknown/No savings,1 <= ... < 4 years,3,Male single,None,2,Unknown/No property,29,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,2397,500 <= ... < 1000 DM,>= 7 years,3,Male single,None,2,Car/other,35,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,6,Existing credits paid back,Repairs,454,< 100 DM,< 1 year,3,Male married/widowed,None,1,Savings/Life insurance,22,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,30,Existing credits paid back,Radio/TV,1715,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,1,Car/other,26,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,27,Critical account,Radio/TV,2520,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,23,None,Own,2,Unskilled-resident,1,None,Yes,Bad
No checking account,15,Existing credits paid back,Radio/TV,3568,< 100 DM,>= 7 years,4,Female div/sep/married,None,2,Car/other,54,Bank,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,42,Existing credits paid back,Radio/TV,7166,Unknown/No savings,4 <= ... < 7 years,2,Male married/widowed,None,4,Savings/Life insurance,29,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,11,Critical account,Car (new),3939,< 100 DM,1 <= ... < 4 years,1,Male single,None,2,Real estate,40,None,Own,2,Unskilled-resident,2,None,Yes,Good
0 <= ... < 200 DM,15,Existing credits paid back,Repairs,1514,100 <= ... < 500 DM,1 <= ... < 4 years,4,Male single,Guarantor,2,Real estate,22,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Car (new),7393,< 100 DM,1 <= ... < 4 years,1,Male single,None,4,Savings/Life insurance,43,None,Own,1,Unskilled-resident,2,None,Yes,Good
< 0 DM,24,All credits paid back,Car (new),1193,< 100 DM,Unemployed,1,Female div/sep/married,Co-applicant,4,Unknown/No property,29,None,Rent,2,Unemployed/non-resident,1,None,Yes,Bad
< 0 DM,60,Existing credits paid back,Business,7297,< 100 DM,>= 7 years,4,Male single,Co-applicant,4,Unknown/No property,36,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,30,Critical account,Radio/TV,2831,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Car/other,33,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,24,Existing credits paid back,Radio/TV,1258,500 <= ... < 1000 DM,1 <= ... < 4 years,3,Female div/sep/married,None,3,Car/other,57,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,6,Existing credits paid back,Radio/TV,753,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,Guarantor,3,Real estate,64,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Delayed payments,Business,2427,Unknown/No savings,>= 7 years,4,Male single,None,2,Savings/Life insurance,42,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Delayed payments,Car (new),2538,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,47,None,Own,2,Unskilled-resident,2,None,Yes,Bad
0 <= ... < 200 DM,15,All credits paid back,Car (new),1264,100 <= ... < 500 DM,1 <= ... < 4 years,2,Male married/widowed,None,2,Savings/Life insurance,25,None,Rent,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,30,Critical account,Furniture/equipment,8386,< 100 DM,4 <= ... < 7 years,2,Male single,None,2,Savings/Life insurance,49,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,48,Existing credits paid back,Business,4844,< 100 DM,Unemployed,3,Male single,None,2,Car/other,33,Bank,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Bad
>= 200 DM/salary assigned,21,Existing credits paid back,Car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,Female div/sep/married,None,1,Car/other,28,Bank,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,36,Existing credits paid back,Car (used),8229,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Savings/Life insurance,26,None,Own,1,Skilled employee,2,None,Yes,Bad
No checking account,24,Critical account,Furniture/equipment,2028,< 100 DM,4 <= ... < 7 years,2,Male single,None,2,Savings/Life insurance,30,None,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,15,Critical account,Furniture/equipment,1433,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,3,Savings/Life insurance,25,None,Rent,2,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,42,No credits/all paid,Business,6289,< 100 DM,< 1 year,2,Male divorced/separated,None,1,Savings/Life insurance,33,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,13,Existing credits paid back,Radio/TV,1409,100 <= ... < 500 DM,Unemployed,2,Female div/sep/married,None,4,Real estate,64,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Car (used),6579,< 100 DM,Unemployed,4,Male single,None,2,Unknown/No property,29,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Critical account,Radio/TV,1743,< 100 DM,>= 7 years,4,Male single,None,2,Savings/Life insurance,48,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,12,Critical account,Education,3565,Unknown/No savings,< 1 year,2,Male single,None,1,Savings/Life insurance,37,None,Own,2,Unskilled-resident,2,None,Yes,Good
No checking account,15,All credits paid back,Radio/TV,1569,100 <= ... < 500 DM,>= 7 years,4,Male single,None,4,Car/other,34,Bank,Own,1,Unskilled-resident,2,None,Yes,Good
< 0 DM,18,Existing credits paid back,Radio/TV,1936,Unknown/No savings,4 <= ... < 7 years,2,Male married/widowed,None,4,Car/other,23,None,Rent,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Furniture/equipment,3959,< 100 DM,Unemployed,4,Male single,None,3,Savings/Life insurance,30,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Car (new),2390,Unknown/No savings,>= 7 years,4,Male single,None,3,Car/other,50,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Furniture/equipment,1736,< 100 DM,4 <= ... < 7 years,3,Female div/sep/married,None,4,Real estate,31,None,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,30,Existing credits paid back,Car (used),3857,< 100 DM,1 <= ... < 4 years,4,Male divorced/separated,None,4,Savings/Life insurance,40,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
